train_acc_SER,train_loss,val_SER_acc,val_loss
0.308762887,1.3653903,0.319024725,1.3590686
0.315721649,1.3614538,0.319986264,1.3562492
0.311082474,1.3596256,0.314629121,1.3563101
0.320446735,1.3571897,0.319024725,1.3545617
0.314003436,1.3567575,0.313324176,1.3642775
0.318556701,1.3566245,0.322596154,1.3560679
0.31838488,1.3566165,0.316758242,1.3557419
0.318986254,1.354286,0.322184066,1.3507229
0.319329897,1.3542145,0.323145604,1.3537475
0.320618557,1.352628,0.321153846,1.3486683
0.314604811,1.3564122,0.319711538,1.3557425
0.321477663,1.3513138,0.323557692,1.3516862
0.312714777,1.3513957,0.323076923,1.3536781
0.320189003,1.3514656,0.332005495,1.341897
0.320103093,1.3526763,0.32657967,1.3437556
0.323969072,1.3509921,0.309340659,1.3477907
0.312371134,1.3527405,0.324450549,1.3481543
0.314175258,1.3473564,0.328777473,1.3450328
0.322680412,1.3493688,0.319368132,1.3491532
0.322938144,1.3501142,0.326648352,1.3440586
0.313230241,1.3486105,0.323901099,1.3397615
0.320790378,1.3528913,0.325686813,1.3400308
0.319329897,1.3446465,0.326098901,1.3435782
0.317955326,1.3561052,0.290934066,1.4536798
0.322250859,1.3540483,0.322596154,1.3485292
0.319329897,1.3507293,0.324793956,1.3441571
0.32637457,1.3440694,0.326304945,1.3455074
0.323969072,1.3455387,0.330631868,1.3426913
0.31709622,1.3488495,0.326098901,1.3447696
0.324914089,1.3445244,0.333035714,1.3420007
0.32362543,1.3444834,0.32760989,1.3475399
0.321907216,1.3490988,0.328365385,1.3474133
0.32637457,1.3447226,0.324862637,1.3428771
0.328865979,1.3400869,0.340453297,1.339384
0.328780069,1.342604,0.326510989,1.3394433
0.32895189,1.3371898,0.339629121,1.3441455
0.364347079,1.2791995,0.418681319,1.2153474
0.439862543,1.174489,0.462980769,1.1288079
0.454639175,1.1370546,0.462019231,1.1087673
0.463917526,1.1287944,0.480769231,1.0919693
0.47766323,1.1056837,0.484409341,1.0993179
0.48419244,1.0927081,0.497184066,1.067073
0.489948454,1.0889101,0.492925824,1.0552332
0.508848797,1.0548315,0.50364011,1.0641211
0.512542955,1.0480678,0.514835165,1.0581009
